DANCe,RAJ2000,DEJ2000,pmRA,e_pmRA,pmDE,e_pmDE,BTmag,e_BTmag,VTmag,e_VTmag,rmag,e_rmag,gmag,e_gmag,imag,e_imag,Y,err_Y,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Qflg,W1,e_W1,W2,e_W2,W3,e_W3,W4,e_W4,Pmb,Teff,e_Teff,Lbol,e_Lbol
J032811.07+271826.0,52.04613749999999,27.30722333333333,20.0,1.7,-47.4,1.7,11.756,0.088,10.931,0.072,10.587,0.027,11.101,0.044,10.376,0.039,,,9.501,0.024,9.211,0.033,9.1,0.02,AAA,9.038,0.025,9.072,0.022,9.044,0.029,8.959,0.468,0.9915,5500,125,0.8005,0.14
J032856.70+261831.0,52.236255833333324,26.308622777777774,21.8,1.1,-49.8,1.1,8.779,0.019,8.435,0.015,,,,,,,,,7.741,0.035,7.681,0.063,7.593,0.021,AAA,7.564,0.025,7.592,0.02,7.597,0.018,7.503,0.134,0.9948,7000,125,5.62,0.93
J032938.35+243037.6,52.40980222222222,24.510456944444442,22.7,2.3,-42.8,2.5,15.325,0.94,11.804,0.18,11.892,0.1,12.595,0.021,11.565,0.061,,,10.318,0.026,9.856,0.03,9.698,0.018,AAA,9.646,0.022,9.655,0.021,9.648,0.047,,,0.9385,4750,125,0.3207,0.059
J033115.95+251519.7,52.81646666666666,25.25546944444444,22.2,0.8,-45.3,0.8,8.44,0.016,8.165,0.013,9.179,0.071,9.751,0.105,8.417,0.095,,,7.587,0.019,7.507,0.021,7.457,0.018,AAA,7.416,0.026,7.45,0.021,7.445,0.018,7.273,0.118,0.9986,7250,125,6.887,1.2
J033128.34+214918.9,52.86809416666666,21.821909166666664,23.8,0.7,-48.8,0.7,9.352,0.021,8.884,0.016,9.223,0.029,9.791,0.034,8.769,0.0040,,,8.071,0.023,7.89,0.017,7.824,0.023,AAA,7.808,0.024,7.84,0.021,7.791,0.018,7.818,0.185,0.878,6500,125,3.923,0.65
J033133.63+261555.8,52.8901086111111,26.26548694444444,20.4,2.2,-37.9,2.4,11.62,0.09,10.75,0.068,10.577,0.1,11.047,0.041,10.367,0.012,,,9.514,0.02,9.222,0.022,9.068,0.017,AAA,9.048,0.022,9.097,0.02,9.059,0.031,8.7,0.419,0.9734,5750,125,0.8515,0.15
J033305.82+220803.2,53.27426499999999,22.134220277777775,21.4,1.6,-49.3,1.7,12.306,0.225,11.521,0.149,11.135,0.011,11.775,0.017,10.934,0.045,,,9.897,0.018,9.522,0.017,9.425,0.02,AAA,9.401,0.022,9.458,0.021,9.415,0.037,8.866,0.491,0.9662,5250,125,0.5079,0.096
J033313.88+230023.1,53.30782944444444,23.006412499999996,19.5,2.5,-49.2,2.6,13.42,0.38,11.535,0.118,11.668,0.1,12.441,0.06,11.377,0.042,,,10.259,0.02,9.787,0.021,9.669,0.014,AAA,9.608,0.024,9.663,0.02,9.662,0.045,,,0.9566,5000,125,0.3647,0.069
J033401.81+245251.2,53.507544722222214,24.88089944444444,20.8,1.6,-42.1,1.6,11.704,0.079,10.932,0.072,10.691,0.011,11.236,0.049,10.506,0.025,9.632728881835938,0.22000773304432855,9.582,0.022,9.269,0.022,9.178,0.018,AAA,9.142,0.022,9.188,0.02,9.213,0.037,,,0.9763,5500,125,0.7439,0.13
J033407.31+242040.0,53.53045749999999,24.344443611111107,20.8,0.9,-43.5,0.9,10.119,0.032,9.645,0.03,9.431,0.1,10.309,0.053,9.329,0.028,,,8.553,0.034,8.312,0.021,8.274,0.018,AAA,8.259,0.022,8.283,0.02,8.255,0.022,8.451,0.322,0.9985,6250,125,2.266,0.39
J033458.66+233148.5,53.744432222222216,23.53014861111111,20.2,1.0,-42.5,0.9,9.281,0.022,8.891,0.019,,,,,,,,,8.11,0.024,8.02,0.015,7.957,0.023,AAA,7.912,0.023,7.932,0.021,7.902,0.02,7.358,0.12,0.9959,6750,125,3.836,0.63
J033531.69+224924.9,53.88205527777777,22.823589999999996,21.0,1.2,-44.4,1.3,10.484,0.036,9.897,0.032,9.73,0.0020,,,9.602,0.026,8.950224227905274,0.220004957754268,8.831,0.026,8.599,0.024,8.541,0.017,AAA,8.51,0.024,8.561,0.02,8.496,0.023,8.338,0.277,0.999,6250,125,1.75,0.29
J033608.46+272034.7,54.035241388888885,27.34297583333333,22.5,1.3,-48.2,1.2,10.001,0.028,9.367,0.022,9.152,0.1,,,9.128,0.046,,,8.188,0.018,7.916,0.017,7.88,0.029,AAA,7.848,0.024,7.876,0.022,7.842,0.019,7.872,0.195,0.928,6000,125,2.971,0.51
J033610.76+261552.4,54.04483027777777,26.264551388888886,9.7,2.1,-48.8,2.1,10.942,0.056,10.339,0.047,10.063,0.1,,,9.894,0.0040,,,9.043,0.023,8.784,0.026,8.713,0.018,AAA,8.674,0.023,8.703,0.021,8.687,0.025,8.789,0.402,0.4979,5750,125,1.283,0.22
J033704.01+292355.5,54.26671194444444,29.39873944444444,26.7,1.9,-42.7,2.0,11.719,0.1,10.7,0.068,10.324,0.077,10.935,0.022,10.085,0.026,,,9.118,0.022,8.762,0.026,8.676,0.018,AAA,8.619,0.023,8.66,0.022,8.683,0.027,,,0.484,5250,125,1.04,0.18
