"","pmRA","pmDEC","i_K","Y","J","H","K","ps","pb","RA","Dec","err_RA","err_Dec"
"V2035",18.157434463501,-41.4452247619629,1.11199951171875,NA,8.72000026702881,8.46300029754639,8.4350004196167,0.999995760065396,0.0230430553972503,56.8370689783144,25.5257439850178,4.3381462e-07,4.3381462e-07
"V1989",21.4510917663574,-41.0063972473145,0.934000015258789,NA,8.47299957275391,8.27999973297119,8.24300003051758,0.999994305076249,0.00930822289345812,56.6666616470967,23.1103381584212,4.1963168e-07,4.1955778e-07
"V2690",17.7853603363037,-58.2012100219727,1.03800010681152,NA,8.48900032043457,8.33199977874756,8.25399971008301,0.999994203166767,8.53314336068944e-06,57.4705246563573,25.6473784466012,1.6077869e-06,1.6056199e-06
"V736",14.3629751205444,-44.2306060791016,1.23999977111816,9.0851195526123,9.2180004119873,8.94499969482422,8.86600017547607,0.999993600429688,0.000208763040756121,56.2350353707233,24.4325422313929,4.4933557e-07,4.4933557e-07
"V1910",12.4004564285278,-40.3015022277832,0.967000007629395,NA,8.52000045776367,8.34899997711182,8.27799987792969,0.999993012586843,0.00711133258929064,56.2455605995874,22.0323206847357,1.3782313e-06,1.3761743e-06
"V2283",18.4288558959961,-42.0965156555176,1.22900009155273,NA,9.11699962615967,8.86800003051758,8.75800037384033,0.999984183929384,0.000627245201039739,55.6001519878834,22.4210357311145,7.4044107e-07,7.4044107e-07
"V2377",14.0624580383301,-39.7713890075684,1.17199993133545,NA,9.19699954986572,8.97999954223633,8.86800003051758,0.999982747415203,7.41687567451521e-06,57.1438335032193,23.4347009323655,8.728535e-07,8.728535e-07
"V733",24.2195854187012,-29.7164173126221,1.13700008392334,8.34108287811279,8.51099967956543,8.28400039672852,8.21399974822998,0.999982493478925,0.020705821798892,55.9612247395516,25.2689319570713,8.3332606e-07,8.3332606e-07
"V2561",15.7339782714844,-35.7437324523926,1.19300079345703,NA,9.10499954223633,8.85099983215332,8.76299953460693,0.999982490797214,0.000145005009077215,56.6616015696515,24.9595721633853,1.2406427e-06,1.2397318e-06
"V2325",15.8662519454956,-40.0304183959961,1.30200004577637,NA,9.5310001373291,9.19200038909912,9.1230001449585,0.999977937888875,6.08222408948755e-06,55.21018324572,23.418415605962,4.274268e-07,4.2735869e-07
"V2746",16.5467777252197,-43.0742416381836,1.25800037384033,NA,9.00300025939941,8.77799987792969,8.65999984741211,0.999973801178603,0.0032583910233176,54.973847000039,26.7168920325284,2.1752585e-06,2.167198e-06
"V18",24.552074432373,-24.4564800262451,0.942999839782715,8.45815212249756,8.45899963378906,8.31400012969971,8.27000045776367,0.999972817736866,0.00352476661837542,52.3558925746224,25.6522617223701,9.975501e-06,9.5327705e-06
"V2030",17.4032707214355,-36.3531951904297,1.1230001449585,NA,9.14500045776367,8.85400009155273,8.79599952697754,0.999967708888942,0.000298745167914838,57.4854085544229,23.2185920039546,5.206804e-07,5.206804e-07
"V2465",13.5427780151367,-51.2821273803711,0.956000328063965,NA,8.43200016021729,8.22999954223633,8.19099998474121,0.999963716901225,0.014171326620215,56.6639287538692,24.1031013311497,7.2221457e-07,7.220347e-07
"V2487",16.150728225708,-51.9416046142578,1.09799957275391,NA,8.85299968719482,8.63899993896484,8.57400035858154,0.999954259359719,8.94186144392295e-05,56.9689231780754,23.9411976844744,5.3724943e-07,5.3724943e-07
"V2437",10.9146070480347,-33.3929634094238,1.05500030517578,NA,8.55300045013428,8.3120002746582,8.27400016784668,0.999951183093362,0.0706908949281188,53.530513121733,24.3443579285582,2.6774649e-06,2.6774649e-06
"V342",16.3921375274658,-41.4334526062012,6.08325004577637,18.8728046417236,17.6006183624268,16.817699432373,16.1383171081543,0.999948987834401,0.000820566365953734,58.5585924468526,23.297794297316,6.365247e-07,6.365247e-07
"V1994",21.3164443969727,-44.7112083435059,1.13199996948242,NA,8.98499965667725,8.7189998626709,8.66300010681152,0.999937472047783,0.00131495006425542,57.1090851751312,24.0483002913271,4.781347e-07,4.780825e-07
"V616",15.626519203186,-40.7794418334961,5.97646522521973,18.556209564209,17.3654918670654,16.6870422363281,16.0760364532471,0.999928443657155,1.0699186658969e-05,57.5670352371264,24.1429259273998,5.2588405e-07,5.2588405e-07
"V2497",16.0527687072754,-45.842170715332,1.1230001449585,NA,9.18099975585938,8.94099998474121,8.85299968719482,0.99992750088445,2.23444954629004e-05,57.6670202962593,23.9329856647184,4.7955467e-07,4.794971e-07
"V3143",37.347972869873,-27.9264125823975,1.11899948120117,NA,8.4040002822876,8.22500038146973,8.15200042724609,0.999916222659036,0.0016594121713186,56.2569884892642,19.5592932601219,9.1716134e-07,9.169223e-07
"V2447",16.576904296875,-42.3053092956543,1.39300060272217,NA,9.76099967956543,9.4069995880127,9.3129997253418,0.999913359299075,4.39407320529384e-07,55.3659796402748,23.7082638628449,2.731244e-07,2.731221e-07
"V2601",18.7334022521973,-37.661922454834,1.21199989318848,NA,9.24600028991699,9.02799987792969,8.94900035858154,0.999910903973736,3.01623845349042e-05,57.2988996256833,24.6365578105391,2.6928558e-07,2.6927626e-07
"V21",21.055736541748,-30.5857391357422,1.1230001449585,9.04487926483154,9.04100036621094,8.81700038909912,8.73600006103516,0.999910856956713,9.06250125365382e-06,57.070499892461,23.6366874336151,1.3687061e-06,1.3687061e-06
"V2329",15.4130935668945,-39.8169288635254,1.48099994659424,NA,9.03400039672852,8.68200016021729,8.55200004577637,0.999910467903504,0.990509376028308,55.9478843769275,23.2116988942921,6.3459345e-07,6.3459345e-07
"V1960",16.3918876647949,-42.2457427978516,1.36399936676025,NA,9.74600028991699,9.39700031280518,9.30700016021729,0.99990949808392,2.03675887822108e-07,57.5871622597154,24.4666722050418,8.6779704e-07,8.6748514e-07
"V1954",0.444003492593765,-56.4560127258301,1.11100006103516,NA,8.60000038146973,8.42000007629395,8.30799961090088,0.999906984820127,9.49088655229913e-05,55.9950625423331,23.8826630379334,6.544288e-07,6.544288e-07
"V654",15.2737789154053,-38.6446342468262,6.11165618896484,19.0026588439941,17.6276264190674,16.9495506286621,16.2252883911133,0.999903176445613,8.2888209161025e-05,59.2495823909214,24.093170918365,6.987242e-07,6.987242e-07
"V831",18.3213481903076,-40.7587547302246,6.23629379272461,18.8037948608398,17.5275688171387,16.773286819458,16.0995216369629,0.999885729092168,0.00445798600277059,57.9485230567074,24.6664198196372,7.626458e-07,7.626458e-07
"V2491",12.9744329452515,-40.4834022521973,1.27099990844727,NA,9.34000015258789,9.07100009918213,8.95300006866455,0.999885571987554,4.61282514767625e-05,56.9185719213796,24.364480632913,4.2170848e-07,4.2170848e-07
"V2322",35.5338401794434,-45.5866165161133,1.01500034332275,NA,8.92000007629395,8.68599987030029,8.63399982452393,0.999884645918295,3.08602367964372e-05,54.9215806448608,23.2907845675561,8.8237755e-07,8.8237755e-07
"V2041",16.0404491424561,-35.9375152587891,1.22500038146973,NA,9.36299991607666,9.12399959564209,9.02099990844727,0.999882888315809,3.76077130659347e-07,54.395483855977,24.2365120200556,1.9728766e-06,1.9705008e-06
"V431",17.143030166626,-36.834789276123,6.05253219604492,18.8952388763428,17.5791301727295,16.8605823516846,16.1485996246338,0.999879304719426,0.000231730637767158,55.9589744001007,24.2082527352525,8.7507345e-07,8.7507345e-07
"V1971",19.488260269165,-40.6637954711914,1.25,NA,9.5290002822876,9.19099998474121,9.12399959564209,0.999875882409548,6.66156925588357e-06,55.9072357891038,23.5359458317419,3.1077698e-07,3.1076263e-07
"V1999",15.8934688568115,-41.0417785644531,1.5049991607666,NA,9.91399955749512,9.54300022125244,9.42800045013428,0.999875598099552,3.33930264106996e-07,57.3698258515936,23.7121016734814,2.6968877e-07,2.6968877e-07
"V2336",19.9759483337402,-35.7424049377441,1.18499946594238,NA,9.30700016021729,9.0319995880127,8.92800045013428,0.999875089490189,1.3359959576853e-05,56.6961163128871,22.9144969799634,2.4729823e-06,2.4518326e-06
"V729",14.8641529083252,-43.709041595459,1.35400009155273,9.62931282043457,9.52999973297119,9.17199993133545,9.0620002746582,0.99985970353918,0.0018812526225781,56.0580453096393,24.7792777598686,4.868421e-07,4.868421e-07
"V2060",17.5312061309814,-42.0354194641113,1.35000038146973,NA,9.70499992370605,9.3100004196167,9.26900005340576,0.999859554618585,6.01155445878465e-06,56.0640548108956,26.3311490875229,4.1620987e-07,4.161875e-07
"V722",16.7710304260254,-41.986400604248,5.74046325683594,17.4849948883057,16.4097003936768,15.7053194046021,15.1342868804932,0.999845567605743,0.999903598803428,55.4331113017849,25.0584692830765,7.1928696e-07,7.192543e-07
