Nested Sampling Global Log-Evidence           :   -0.287545468293565045E+04  +/-    0.136042785428815649E+00
Nested Importance Sampling Global Log-Evidence:   -0.287648327683702428E+04  +/-    0.203253767664083769E-01

Dim No.       Mean        Sigma
   1    0.201723129324636918E+01    0.584243051450706430E+00
   2    0.566445184646830597E+02    0.287331080091962690E-01
   3    0.241775626045541223E+02    0.254938971895815082E-01
   4    0.215827725818284755E+01    0.170130290217207214E+00
   5    0.354627895560945632E+02    0.862055298063213016E+01
   6    0.134529511420202946E+00    0.376717997629542056E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.279855049971156600E+01
   2    0.566541467260656617E+02
   3    0.241875659373273812E+02
   4    0.204413724785636575E+01
   5    0.381324435369014338E+02
   6    0.144819971833870520E+00

MAP Parameters
Dim No.        Parameter
   1    0.279855049971156600E+01
   2    0.566541467260656617E+02
   3    0.241875659373273812E+02
   4    0.204413724785636575E+01
   5    0.381324435369014338E+02
   6    0.144819971833870520E+00
