Nested Sampling Global Log-Evidence           :   -0.501644995498653225E+04  +/-    0.181315300136894175E+00
Nested Importance Sampling Global Log-Evidence:   -0.501758368284275457E+04  +/-    0.126503176629226499E+00

Dim No.       Mean        Sigma
   1   -0.134372142445044721E-02    0.337066106572642826E-01
   2    0.361217490899557944E-01    0.302217659500068278E-01
   3    0.263043991652076992E+01    0.292388646355663695E+00
   4    0.153738892992479137E+01    0.788108707935410324E+00
   5    0.262247300207921707E+01    0.287041196767123918E+00
   6    0.300525332011679467E+02    0.115653993601907352E+02
   7    0.295757222352922469E+02    0.115031752386953237E+02
   8    0.184267535189724829E+00    0.370761649325139150E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.354158125601578000E-02
   2    0.487282889543356745E-01
   3    0.244442317109899721E+01
   4    0.236165791366481814E+01
   5    0.267514588304924095E+01
   6    0.193371341270138046E+02
   7    0.404585781118379941E+02
   8    0.174288063775788704E+00

MAP Parameters
Dim No.        Parameter
   1    0.354158125601578000E-02
   2    0.487282889543356745E-01
   3    0.244442317109899721E+01
   4    0.236165791366481814E+01
   5    0.267514588304924095E+01
   6    0.193371341270138046E+02
   7    0.404585781118379941E+02
   8    0.174288063775788704E+00
